colour	x	y	hjust	label	showSelected1	PANEL	group
#FFA500	6.58	50.5	1	subset=1	subset	1	2
#FFA500	6.58	150.5	1	subset=2	subset	1	2
#7F7F7F	0.42	17.5	0	fold=1	fold	1	1
#7F7F7F	0.42	51.5	0	fold=2	fold	1	1
#7F7F7F	0.42	84.5	0	fold=3	fold	1	1
#7F7F7F	0.42	117.5	0	fold=1	fold	1	1
#7F7F7F	0.42	151.5	0	fold=2	fold	1	1
#7F7F7F	0.42	184.5	0	fold=3	fold	1	1
#FFA500	12.58	50.5	1	subset=1	subset	2	2
#FFA500	12.58	150.5	1	subset=2	subset	2	2
#7F7F7F	6.42	17.5	0	fold=1	fold	2	1
#7F7F7F	6.42	51.5	0	fold=2	fold	2	1
#7F7F7F	6.42	84.5	0	fold=3	fold	2	1
#7F7F7F	6.42	117.5	0	fold=1	fold	2	1
#7F7F7F	6.42	151.5	0	fold=2	fold	2	1
#7F7F7F	6.42	184.5	0	fold=3	fold	2	1
#FFA500	18.58	50.5	1	subset=1	subset	3	2
#FFA500	18.58	150.5	1	subset=2	subset	3	2
#7F7F7F	12.42	17.5	0	fold=1	fold	3	1
#7F7F7F	12.42	51.5	0	fold=2	fold	3	1
#7F7F7F	12.42	84.5	0	fold=3	fold	3	1
#7F7F7F	12.42	117.5	0	fold=1	fold	3	1
#7F7F7F	12.42	151.5	0	fold=2	fold	3	1
#7F7F7F	12.42	184.5	0	fold=3	fold	3	1
