fill	xmin	xmax	ymin	ymax	clickSelects	showSelected1	PANEL
#D95F02	0.7	1.3	1	34	1	test	1
#1B9E77	0.7	1.3	35	100	1	train	1
#1B9E77	0.7	1.3	135	200	1	train	1
#D95F02	1.7	2.3	101	134	2	test	1
#1B9E77	1.7	2.3	35	100	2	train	1
#1B9E77	1.7	2.3	135	200	2	train	1
#D95F02	2.7	3.3	35	68	3	test	1
#1B9E77	2.7	3.3	1	34	3	train	1
#1B9E77	2.7	3.3	69	134	3	train	1
#1B9E77	2.7	3.3	169	200	3	train	1
#D95F02	3.7	4.3	135	168	4	test	1
#1B9E77	3.7	4.3	1	34	4	train	1
#1B9E77	3.7	4.3	69	134	4	train	1
#1B9E77	3.7	4.3	169	200	4	train	1
#D95F02	4.7	5.3	69	100	5	test	1
#1B9E77	4.7	5.3	1	68	5	train	1
#1B9E77	4.7	5.3	101	168	5	train	1
#D95F02	5.7	6.3	169	200	6	test	1
#1B9E77	5.7	6.3	1	68	6	train	1
#1B9E77	5.7	6.3	101	168	6	train	1
#D95F02	6.7	7.3	1	34	7	test	2
#1B9E77	6.7	7.3	135	200	7	train	2
#D95F02	7.7	8.3	101	134	8	test	2
#1B9E77	7.7	8.3	35	100	8	train	2
#D95F02	8.7	9.3	35	68	9	test	2
#1B9E77	8.7	9.3	101	134	9	train	2
#1B9E77	8.7	9.3	169	200	9	train	2
#D95F02	9.7	10.3	135	168	10	test	2
#1B9E77	9.7	10.3	1	34	10	train	2
#1B9E77	9.7	10.3	69	100	10	train	2
#D95F02	10.7	11.3	69	100	11	test	2
#1B9E77	10.7	11.3	101	168	11	train	2
#D95F02	11.7	12.3	169	200	12	test	2
#1B9E77	11.7	12.3	1	68	12	train	2
#D95F02	12.7	13.3	1	34	13	test	3
#1B9E77	12.7	13.3	35	100	13	train	3
#D95F02	13.7	14.3	101	134	14	test	3
#1B9E77	13.7	14.3	135	200	14	train	3
#D95F02	14.7	15.3	35	68	15	test	3
#1B9E77	14.7	15.3	1	34	15	train	3
#1B9E77	14.7	15.3	69	100	15	train	3
#D95F02	15.7	16.3	135	168	16	test	3
#1B9E77	15.7	16.3	101	134	16	train	3
#1B9E77	15.7	16.3	169	200	16	train	3
#D95F02	16.7	17.3	69	100	17	test	3
#1B9E77	16.7	17.3	1	68	17	train	3
#D95F02	17.7	18.3	169	200	18	test	3
#1B9E77	17.7	18.3	101	168	18	train	3
