fill	y	x	clickSelects	showSelected1	PANEL
#FF0000	0.0882352941176471	1	1	rpart	1
#FF0000	0.0882352941176471	1	3	rpart	1
#FF0000	0.03125	1	5	rpart	1
#FF0000	0.0882352941176471	2	7	rpart	1
#FF0000	0.0588235294117647	2	9	rpart	1
#FF0000	0.03125	2	11	rpart	1
#FF0000	0.0294117647058824	3	13	rpart	1
#FF0000	0.0882352941176471	3	15	rpart	1
#FF0000	0.0625	3	17	rpart	1
#0000FF	0.382352941176471	1	1	featureless	1
#0000FF	0.558823529411765	1	3	featureless	1
#0000FF	0.40625	1	5	featureless	1
#0000FF	0.529411764705882	2	7	featureless	1
#0000FF	0.470588235294118	2	9	featureless	1
#0000FF	0.5625	2	11	featureless	1
#0000FF	0.382352941176471	3	13	featureless	1
#0000FF	0.558823529411765	3	15	featureless	1
#0000FF	0.4375	3	17	featureless	1
#FF0000	0.147058823529412	1	2	rpart	2
#FF0000	0.0588235294117647	1	4	rpart	2
#FF0000	0.125	1	6	rpart	2
#FF0000	0.0882352941176471	2	8	rpart	2
#FF0000	0.0294117647058824	2	10	rpart	2
#FF0000	0.09375	2	12	rpart	2
#FF0000	0.147058823529412	3	14	rpart	2
#FF0000	0.0882352941176471	3	16	rpart	2
#FF0000	0.125	3	18	rpart	2
#0000FF	0.5	1	2	featureless	2
#0000FF	0.617647058823529	1	4	featureless	2
#0000FF	0.5	1	6	featureless	2
#0000FF	0.5	2	8	featureless	2
#0000FF	0.558823529411765	2	10	featureless	2
#0000FF	0.40625	2	12	featureless	2
#0000FF	0.441176470588235	3	14	featureless	2
#0000FF	0.5	3	16	featureless	2
#0000FF	0.5625	3	18	featureless	2
#FF0000	0.117647058823529	1	1	rpart	3
#FF0000	0.0882352941176471	1	3	rpart	3
#FF0000	0.15625	1	5	rpart	3
#FF0000	0.470588235294118	2	7	rpart	3
#FF0000	0.470588235294118	2	9	rpart	3
#FF0000	0.5	2	11	rpart	3
#FF0000	0.117647058823529	3	13	rpart	3
#FF0000	0.0588235294117647	3	15	rpart	3
#FF0000	0.125	3	17	rpart	3
#0000FF	0.617647058823529	1	1	featureless	3
#0000FF	0.382352941176471	1	3	featureless	3
#0000FF	0.4375	1	5	featureless	3
#0000FF	0.470588235294118	2	7	featureless	3
#0000FF	0.294117647058824	2	9	featureless	3
#0000FF	0.5625	2	11	featureless	3
#0000FF	0.588235294117647	3	13	featureless	3
#0000FF	0.470588235294118	3	15	featureless	3
#0000FF	0.5	3	17	featureless	3
#FF0000	0.176470588235294	1	2	rpart	4
#FF0000	0.117647058823529	1	4	rpart	4
#FF0000	0.0625	1	6	rpart	4
#FF0000	0.5	2	8	rpart	4
#FF0000	0.5	2	10	rpart	4
#FF0000	0.46875	2	12	rpart	4
#FF0000	0.147058823529412	3	14	rpart	4
#FF0000	0.117647058823529	3	16	rpart	4
#FF0000	0.0625	3	18	rpart	4
#0000FF	0.647058823529412	1	2	featureless	4
#0000FF	0.588235294117647	1	4	featureless	4
#0000FF	0.53125	1	6	featureless	4
#0000FF	0.264705882352941	2	8	featureless	4
#0000FF	0.588235294117647	2	10	featureless	4
#0000FF	0.5	2	12	featureless	4
#0000FF	0.558823529411765	3	14	featureless	4
#0000FF	0.411764705882353	3	16	featureless	4
#0000FF	0.5625	3	18	featureless	4
